

Date 	Value
Apr 1, 1996 	1,043.58
Mar 1, 1996 	1,047.44
Feb 1, 1996 	1,056.87
Jan 1, 1996 	1,002.96
Dec 1, 1995 	1,009.09
Nov 1, 1995 	977.19
Oct 1, 1995 	955.88
Sep 1, 1995 	952.17
Aug 1, 1995 	921.63
Jul 1, 1995 	921.17
Jun 1, 1995 	891.39
May 1, 1995 	867.41
Apr 1, 1995 	842.74
Mar 1, 1995 	820.95
Feb 1, 1995 	804.92
Jan 1, 1995 	780.18
Dec 1, 1994 	766.37
Nov 1, 1994 	776.17
Oct 1, 1994 	781.92
Sep 1, 1994 	787.76
Aug 1, 1994 	785.28
Jul 1, 1994 	766.64
Jun 1, 1994 	774.56
May 1, 1994 	770.47
Apr 1, 1994 	764.71
Mar 1, 1994 	794.14
Feb 1, 1994 	810.20
Jan 1, 1994 	815.40
Dec 1, 1993 	805.47
Nov 1, 1993 	800.18
Oct 1, 1993 	802.47
Sep 1, 1993 	797.70
Aug 1, 1993 	790.46
Jul 1, 1993 	780.71
Jun 1, 1993 	782.05
May 1, 1993 	778.22
Apr 1, 1993 	775.51
Mar 1, 1993 	790.09
Feb 1, 1993 	777.95
Jan 1, 1993 	769.25
Dec 1, 1992 	773.77
Nov 1, 1992 	750.51
Oct 1, 1992 	733.19
Sep 1, 1992 	746.45
Aug 1, 1992 	747.58
Jul 1, 1992 	744.54
Jun 1, 1992 	733.95
May 1, 1992 	748.37
Apr 1, 1992 	736.08
Mar 1, 1992 	737.04
Feb 1, 1992 	750.22
Jan 1, 1992 	759.36
Dec 1, 1991 	710.07
Nov 1, 1991 	705.85
Oct 1, 1991 	709.67
Sep 1, 1991 	711.29
Aug 1, 1991 	718.47
Jul 1, 1991 	703.62
Jun 1, 1991 	701.05
May 1, 1991 	702.57
Apr 1, 1991 	707.79
Mar 1, 1991 	695.03
Feb 1, 1991 	677.32
Jan 1, 1991 	609.48
Dec 1, 1990 	619.26
Nov 1, 1990 	593.91
Oct 1, 1990 	579.82
Sep 1, 1990 	599.06
Aug 1, 1990 	633.45
Jul 1, 1990 	695.87
Jun 1, 1990 	699.25
May 1, 1990 	683.25
Apr 1, 1990 	661.24
Mar 1, 1990 	662.82
Feb 1, 1990 	650.67
Jan 1, 1990 	672.57
Dec 1, 1989 	696.75
Nov 1, 1989 	681.04
Oct 1, 1989 	697.12
Sep 1, 1989 	700.26
Aug 1, 1989 	701.09
Jul 1, 1989 	672.44
Jun 1, 1989 	657.41
May 1, 1989 	639.05
Apr 1, 1989 	618.94
Mar 1, 1989 	603.20
Feb 1, 1989 	609.37
Jan 1, 1989 	593.99
Dec 1, 1988 	578.33
Nov 1, 1988 	567.77
Oct 1, 1988 	581.66
Sep 1, 1988 	563.82
Aug 1, 1988 	558.51
Jul 1, 1988 	572.35
Jun 1, 1988 	578.19
May 1, 1988 	549.34
Apr 1, 1988 	565.20
Mar 1, 1988 	574.82
Feb 1, 1988 	560.78
Jan 1, 1988 	545.68
Dec 1, 1987 	526.35
Nov 1, 1987 	535.09
Oct 1, 1987 	612.50
Sep 1, 1987 	698.47
Aug 1, 1987 	725.71
Jul 1, 1987 	686.79
Jun 1, 1987 	669.29
May 1, 1987 	644.25
Apr 1, 1987 	646.98
Mar 1, 1987 	657.64
Feb 1, 1987 	634.39
Jan 1, 1987 	599.50
Dec 1, 1986 	567.03
Nov 1, 1986 	559.55
Oct 1, 1986 	542.46
Sep 1, 1986 	545.02
Aug 1, 1986 	562.89
Jul 1, 1986 	552.87
Jun 1, 1986 	564.61
May 1, 1986 	551.98
Apr 1, 1986 	552.35
Mar 1, 1986 	538.13
Feb 1, 1986 	505.92
Jan 1, 1986 	478.78
Dec 1, 1985 	478.02
Nov 1, 1985 	456.67
Oct 1, 1985 	431.73
Sep 1, 1985 	428.44
Aug 1, 1985 	439.43
Jul 1, 1985 	450.07
Jun 1, 1985 	442.47
May 1, 1985 	434.31
Apr 1, 1985 	425.80
Mar 1, 1985 	424.96
Feb 1, 1985 	430.13
Jan 1, 1985 	409.95
Dec 1, 1984 	393.73
Nov 1, 1984 	398.04
Oct 1, 1984 	394.45
Sep 1, 1984 	398.70
Aug 1, 1984 	396.51
Jul 1, 1984 	365.83
Jun 1, 1984 	372.10
May 1, 1984 	381.71
Apr 1, 1984 	385.27
Mar 1, 1984 	386.65
Feb 1, 1984 	387.16
Jan 1, 1984 	411.57
Dec 1, 1983 	409.03
Nov 1, 1983 	411.43
Oct 1, 1983 	418.48
Sep 1, 1983 	418.48
Aug 1, 1983 	408.49
Jul 1, 1983 	421.32
Jun 1, 1983 	421.50
May 1, 1983 	416.93
Apr 1, 1983 	403.11
Mar 1, 1983 	391.06
Feb 1, 1983 	377.93
Jan 1, 1983 	371.87
Dec 1, 1982 	359.98
Nov 1, 1982 	355.17
Oct 1, 1982 	340.58
Sep 1, 1982 	315.11
Aug 1, 1982 	282.99
Jul 1, 1982 	282.80
Jun 1, 1982 	285.04
May 1, 1982 	306.23
Apr 1, 1982 	308.87
Mar 1, 1982 	295.51
Feb 1, 1982 	305.06
Jan 1, 1982 	313.51
Dec 1, 1981 	331.94
Nov 1, 1981 	330.58
Oct 1, 1981 	323.28
Sep 1, 1981 	319.92
Aug 1, 1981 	353.89
Jul 1, 1981 	355.22
Jun 1, 1981 	368.04
May 1, 1981 	369.64
Apr 1, 1981 	380.18
Mar 1, 1981 	379.34
Feb 1, 1981 	368.16
Jan 1, 1981 	385.30
Dec 1, 1980 	389.88
Nov 1, 1980 	400.02
Oct 1, 1980 	386.97
Sep 1, 1980 	379.56
Aug 1, 1980 	373.67
Jul 1, 1980 	365.10
Jun 1, 1980 	349.26
May 1, 1980 	331.84
Apr 1, 1980 	320.49
Mar 1, 1980 	329.44
Feb 1, 1980 	368.31
Jan 1, 1980 	359.27
Dec 1, 1979 	354.23
Nov 1, 1979 	344.35
Oct 1, 1979 	350.24
Sep 1, 1979 	366.91
Aug 1, 1979 	366.79
Jul 1, 1979 	354.09
Jun 1, 1979 	354.53
May 1, 1979 	351.55
Apr 1, 1979 	364.49
Mar 1, 1979 	361.45
Feb 1, 1979 	358.29
Jan 1, 1979 	367.95
Dec 1, 1978 	357.80
Nov 1, 1978 	354.16
Oct 1, 1978 	377.87
Sep 1, 1978 	393.79
Aug 1, 1978 	396.77
Jul 1, 1978 	372.84
Jun 1, 1978 	377.52
May 1, 1978 	380.64
Apr 1, 1978 	365.67
Mar 1, 1978 	353.09
Feb 1, 1978 	356.54
Jan 1, 1978 	363.94
Dec 1, 1977 	380.78
Nov 1, 1977 	383.88
Oct 1, 1977 	383.54
Sep 1, 1977 	395.01
Aug 1, 1977 	402.56
Jul 1, 1977 	414.00
